Acquisition Time[ms], ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, 
1.003,-0.921903,0.041261,-0.354259,-0.484390,0.014161,-0.875515,
0.000,-0.921903,0.040529,-0.361095,-0.478042,0.012696,-0.873806,
0.998,-0.921903,0.040529,-0.361095,-0.484390,0.012696,-0.873806,
1.000,-0.921903,0.043702,-0.361583,-0.479751,0.010987,-0.890652,
0.000,-0.921903,0.044435,-0.360362,-0.477798,0.014649,-0.879421,
0.999,-0.921903,0.013184,-0.360362,-0.477798,0.014649,-0.879421,
0.999,-0.921903,0.042726,-0.359874,-0.484390,0.015381,-0.879909,
0.000,-0.921903,0.043947,-0.360362,-0.477798,0.013428,-0.879177,
1.001,-0.921903,0.043947,-0.360362,-0.477798,0.013428,-0.879177,
1.000,-0.937528,0.031251,-0.360362,-0.471694,0.010498,-0.878200,
0.000,-0.937528,0.044679,-0.358165,-0.484390,0.010498,-0.876735,
1.000,-0.937528,0.044679,-0.358165,-0.484390,0.010498,-0.876735,
1.000,-0.937528,0.044435,-0.362560,-0.480483,0.012696,-0.879421,
0.000,-0.921903,0.041749,-0.364513,-0.478530,0.014893,-0.878689,
1.000,-0.921903,0.041749,-0.374767,-0.484390,0.014893,-0.878689,
1.000,-0.921903,0.041749,-0.364269,-0.476333,0.014893,-0.874050,
0.000,-0.921903,0.041749,-0.362316,-0.476821,0.013672,-0.873073,
1.000,-0.921903,0.041749,-0.362316,-0.476821,0.013672,-0.873073,
1.000,-0.937528,0.031251,-0.358165,-0.472670,0.012452,-0.875759,
0.331,-0.921903,0.044679,-0.358165,-0.477065,0.011719,-0.875759,
1.011,-0.921903,0.043702,-0.366710,-0.484390,0.011719,-0.875759,
0.000,-0.921903,0.043702,-0.366710,-0.484390,0.011719,-0.877468,
1.047,-0.921903,0.044923,-0.369884,-0.481460,0.011719,-0.877468,
0.947,-0.937528,0.044435,-0.360362,-0.481460,0.011719,-0.002441,
0.000,-0.937528,0.044435,-0.360362,-0.484390,0.012940,-0.881618,
1.000,-0.921903,0.043702,-0.358898,-0.484390,0.012940,-0.010498,
0.999,-0.906338,0.045412,-0.352306,-0.477553,0.012940,-0.878200,
0.000,-0.921903,0.045412,-0.352306,-0.478774,0.010498,-0.003174,
1.001,-0.906338,0.042726,-0.362316,-0.484390,0.011719,-0.870876,
1.000,-0.937528,0.042726,-0.365245,-0.484390,0.014405,-0.876735,
0.000,-0.937528,0.042726,-0.365245,-0.481460,0.014405,-0.876735,
1.000,-0.937528,0.045167,-0.358409,-0.482681,0.012207,-0.878444,
0.999,-0.921903,0.042238,-0.352794,-0.479751,0.010743,-0.872585,
0.000,-0.921903,0.042238,-0.352794,-0.479751,0.010743,-0.872585,
1.000,-0.921903,0.042238,-0.355235,-0.476821,0.007569,-0.873317,
1.000,-0.921903,0.042726,-0.362071,-0.484390,0.007080,-0.870143,
0.000,-0.921903,0.042726,-0.362071,-0.476089,0.007080,-0.870143,
1.001,-0.937528,0.043702,-0.361339,-0.476089,0.013428,-0.870143,
0.999,-0.921903,0.045167,-0.358898,-0.476333,0.015137,-0.890652,
0.000,-0.921903,0.045167,-0.358898,-0.476333,0.015137,-0.875759,
1.001,-0.921903,-0.001709,-0.358898,-0.484390,0.013916,-0.875759,
1.009,-0.921903,0.042970,-0.360851,-0.479507,0.016846,-0.871608,
0.000,-0.921903,0.042970,-0.360851,-0.479507,0.016846,-0.871608,
0.991,-0.921903,0.042726,-0.364269,-0.479018,0.018067,-0.870388,
1.008,-0.921903,0.044191,-0.363780,-0.484390,0.013184,-0.873073,
0.000,-0.921903,0.044191,-0.364513,-0.484390,0.013184,-0.873073,
0.993,-0.921903,0.046388,-0.364513,-0.484390,0.008301,-0.874294,
1.007,-0.921903,0.045412,-0.366710,-0.476577,0.008057,-0.872097,
0.000,-0.921903,0.044923,-0.361095,-0.484390,0.008057,-0.872097,
0.992,-0.921903,0.044923,-0.374279,-0.476821,0.011231,-0.871608,
1.008,-0.921903,0.046388,-0.358165,-0.484390,0.012207,-0.870632,
0.000,-0.921903,0.045656,-0.360118,-0.484390,0.012207,-0.870632,
0.992,-0.921903,0.045656,-0.360118,-0.484390,0.011475,-0.870876,
1.008,-0.921903,0.043458,-0.361339,-0.477309,0.010987,-0.875515,
0.000,-0.921903,0.042238,-0.361339,-0.477309,0.009522,-0.876980,
0.993,-0.921903,0.042238,-0.361339,-0.484390,0.000000,-0.876980,
1.010,-0.912381,0.045167,-0.361339,-0.479995,0.010743,-0.874294,
0.000,-0.921903,0.045656,-0.357433,-0.478286,0.009522,-0.873562,
1.000,-0.921903,0.045656,-0.357433,-0.484390,0.009522,-0.873562,
1.002,-0.919950,0.044923,-0.355968,-0.480483,0.006836,-0.871852,
0.000,-0.921903,0.043702,-0.357433,-0.480239,0.008789,-0.872097,
1.021,-0.921903,0.043702,-0.358898,-0.480239,0.008789,-0.872097,
1.062,-0.921903,0.044679,-0.361583,-0.480727,0.009278,-0.876491,
0.000,-0.921903,0.049074,-0.362560,-0.484390,0.008545,-0.876003,
0.942,-0.921903,0.049074,-0.362560,-0.484390,0.008545,-0.876003,
1.018,-0.921903,0.047853,-0.358653,-0.482192,0.012452,-0.872341,
0.000,-0.921903,0.045412,-0.355235,-0.480483,0.000000,-0.869655,
0.989,-0.909207,0.045412,-0.355235,-0.484390,0.012696,-0.869655,
1.011,0.000000,0.046388,-0.356456,-0.484390,0.007324,-0.869411,
0.000,-0.937528,0.044679,-0.359142,-0.484390,0.008057,-0.872829,
0.989,-0.937528,0.044679,-0.359142,-0.484390,0.008057,-0.872829,
1.011,-0.921903,0.044191,-0.001953,-0.481704,0.008789,-0.877468,
0.000,-0.918973,0.044435,-0.360851,-0.475112,0.006592,-0.876735,
0.981,-0.921903,0.044435,-0.356456,-0.475112,0.006592,-0.876735,
1.028,-0.921903,0.044435,-0.359386,-0.484390,0.011231,-0.872829,
0.000,-0.921903,0.044679,-0.358165,-0.477553,0.014161,-0.874294,
0.963,-0.937528,0.043702,-0.359142,-0.477553,0.014161,-0.874294,
1.156,-0.937528,0.043702,-0.359142,-0.484390,0.013672,-0.875271,
0.000,-0.921903,0.043702,-0.366466,-0.480972,0.011719,-0.876247,
0.861,-0.921903,0.045656,-0.369152,-0.484390,0.011719,-0.876247,
1.011,-0.921903,0.045656,-0.369152,-0.484390,0.012452,-0.872585,
0.000,-0.921903,0.047853,-0.364513,-0.484390,0.017090,-0.870632,
0.980,-0.921903,0.046876,-0.002441,-0.481216,0.001465,-0.880886,
0.998,-0.921903,0.046876,-0.361827,-0.480727,0.014893,-0.880886,
1.015,-0.921903,0.047853,-0.359874,-0.484390,0.010498,-0.881374,
0.000,-0.921903,0.050783,-0.358898,-0.480239,0.009522,-0.877224,
1.015,-0.921903,0.062441,-0.358898,-0.468825,0.009522,-0.877224,
0.000,-0.921903,0.046632,-0.362560,-0.477798,0.010987,-0.879177,
0.971,-0.921903,0.031251,-0.365978,-0.477065,0.012207,-0.873073,
1.021,-0.921903,0.042970,-0.365978,-0.484390,0.012207,-0.873073,
0.000,-0.921903,0.041749,-0.361095,-0.484390,0.011231,-0.871852,
0.978,-0.937528,0.040040,-0.357677,-0.484390,0.011231,-0.875759,
1.089,-0.937528,0.040040,-0.357677,-0.484390,0.011231,-0.875759,
0.922,-0.921903,0.042482,-0.362560,-0.484390,0.012940,-0.874294,
0.000,-0.921903,0.044679,-0.363536,-0.479018,0.009766,-0.877468,
0.991,0.002197,0.044679,-0.375011,-0.484390,0.009766,-0.877468,
